time,ng_prevalence,ct_prevalence,tv_prevalence,ng_new_infections,ct_new_infections,tv_new_infections
2000,0.020613667,0.12,0.117800798,303948.965,236837.1604,852516.6775
2001,0.020670526,0.12,0.117616794,309130.761,240714.9333,857369.4991
2002,0.020858151,0.12,0.118631654,314495.076,245864.8649,865533.4499
2003,0.020958728,0.12,0.120154376,318973.176,252151.8052,879210.7601
2004,0.021024878,0.12,0.121855123,322340.602,258298.8213,892610.0697
2005,0.021087305,0.12,0.12365451,324015.083,263100.6251,901728.4378
2006,0.021134275,0.12,0.122986002,324513.446,266977.9897,902188.2046
2007,0.021101125,0.12,0.118525561,327068.545,273233.23,901618.8073
2008,0.020977915,0.12,0.112334651,325319.205,275726.5267,888648.0932
2009,0.020771775,0.12,0.107302366,323000.01,278543.6872,882183.8939
2010,0.020524607,0.12,0.10590894,320885.967,282160.7957,890675.8744
2011,0.020224451,0.12,0.107146647,318657.983,286207.9126,911341.6452
2012,0.01987193,0.12,0.108290249,316422.021,290391.8893,935534.5407
2013,0.01927656,0.12,0.107345095,313154.751,291617.9267,951901.2188
2014,0.018647146,0.12,0.106317431,310053.519,293141.5201,972544.6629
2015,0.018088406,0.12,0.105182375,308106.053,294685.3191,993846.3428
2016,0.017580284,0.12,0.104016613,307182.913,296457.3572,1023974.285
2017,0.017134171,0.12,0.103041052,307363.593,298873.6919,1066953.358
2018,0.016824164,0.12,0.102233699,309849.425,302240.419,1112073.166
2019,0.016661486,0.12,0.101643069,314758.676,306592.7768,1151903.149
2020,0.016653429,0.12,0.101762333,321611.604,313717.4557,1180655.023
2021,0.016792302,0.12,0.101767939,332127.054,318094.8447,1189789.401
2022,0.016402407,0.12,0.10156907,331581.585,324596.1114,1216203.595
2023,0.015898204,0.12,0.100707756,329288.099,330723.4277,1236955.364
2024,0.015362251,0.12,0.099783745,326971.528,337680.4114,1258867.686
2025,0.015,0.12,0.1,327595.46,346996.5456,1287607.605
2026,0.015,0.12,0.1,327205.458,356678.9785,1317061.423
2027,0.015,0.12,0.1,326579.92,366359.4027,1346699.984
2028,0.015,0.12,0.1,326276.178,376659.8098,1378297.482
2029,0.015,0.12,0.1,324184.068,387339.6472,1410963.936
2030,0.015,0.12,0.1,321307.308,398315.3611,1445340.875
2031,0.015,0.12,0.1,315792.972,409150.298,1479654.056
2032,0.015,0.12,0.1,310848.96,419796.0051,1514343.871
2033,0.015,0.12,0.1,304731.988,431010.3065,1552880.928
2034,0.015,0.12,0.1,296610.781,442255.316,1593266.675
2035,0.015,0.12,0.1,289970.22,453020.5094,1633644.986
2036,0.015,0.12,0.1,281908.261,463739.9437,1675190.411
2037,0.015,0.12,0.1,275010.186,473782.9431,1715336.692
2038,0.015,0.12,0.1,266727.477,483992.475,1758182.438
2039,0.015,0.12,0.1,259544.916,493990.9187,1802181.767
2040,0.015,0.12,0.1,252137.39,503644.4804,1846158.236
